skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G09-N-CONT-RATIO-01,N-9-1,連比與比例,連比,連比記法,將三個以上量的比例寫成連比並化簡,2
G09-N-CONT-RATIO-02,N-9-1,連比與比例,連比,由兩組比合成連比,調整共同項後合併比例,3
G09-N-CONT-RATIO-03,N-9-1,連比與比例,連比例式,連比例式性質,由a:b:c求各量與總量/差量關係,4
G09-N-CONT-RATIO-04,N-9-1,連比與比例,應用,按連比分配,處理金額、長度、成分、比例分配,4
G09-N-CONT-RATIO-05,N-9-1,連比與比例,應用,連比改變問題,某一量增減後重新建立連比,5
G09-S-SIM-SCALE-01,S-9-1,相似形,縮放,縮放中心與倍率,理解放大縮小後形狀不變、長度等倍率,2
G09-S-SIM-POLY-01,S-9-1,相似形,相似多邊形,對應角與對應邊,判斷兩多邊形相似並找對應關係,3
G09-S-SIM-RATIO-01,S-9-1,相似形,相似多邊形,相似比,由對應邊建立相似比並求未知邊,3
G09-S-SIM-AAA-01,S-9-2,相似三角形,判定,AA相似,由兩角相等判定三角形相似,3
G09-S-SIM-SAS-01,S-9-2,相似三角形,判定,SAS相似,由夾角相等與鄰邊成比例判定,4
G09-S-SIM-SSS-01,S-9-2,相似三角形,判定,SSS相似,由三邊成比例判定,4
G09-S-SIM-HIGH-01,S-9-2,相似三角形,性質,對應高之比,理解對應高比等於相似比,4
G09-S-SIM-AREA-01,S-9-2,相似三角形,性質,面積比,理解面積比等於相似比平方,4
G09-S-SIM-APP-01,S-9-2,相似三角形,應用,間接測量,以影長、鏡面、比例圖等做間接測量,5
G09-S-PAR-MID-01,S-9-3,比例線段,平行截線,三角形中點連線,連接兩邊中點平行第三邊且長為一半,3
G09-S-PAR-PROP-01,S-9-3,比例線段,平行截線,平行線截比例線段,利用平行線得到多段成比例,4
G09-S-PAR-REV-01,S-9-3,比例線段,判定,比例反推平行,由截線段成比例判定兩直線平行,4
G09-S-PAR-APP-01,S-9-3,比例線段,應用,複合比例線段,在梯形/三角形複合圖中求未知長,5
G09-S-RT-306090-01,S-9-4,特殊直角三角形,邊長比,30-60-90,熟悉1:√3:2並由一邊求其餘邊,3
G09-S-RT-454590-01,S-9-4,特殊直角三角形,邊長比,45-45-90,熟悉1:1:√2並由一邊求其餘邊,3
G09-S-TRIG-RATIO-01,S-9-4,特殊直角三角形,邊長比,固定銳角的邊長比不變,由相似理解直角三角形中特定銳角對應比值不變,4
G09-S-TRIG-CALC-01,S-9-4,特殊直角三角形,近似應用,計算機求三角比近似值,在非30/45/60度情況以計算機取得比值,4
G09-S-TRIG-APP-01,S-9-4,特殊直角三角形,應用,高距測量,用直角三角形邊長比解高度距離問題,5
G09-S-ARC-01,S-9-5,圓,弧與扇形,弧與弦基本概念,辨認優弧劣弧、弦與弓形,2
G09-S-ARCLEN-01,S-9-5,圓,弧與扇形,弧長,以圓心角占周角比例求弧長,3
G09-S-SECTOR-01,S-9-5,圓,弧與扇形,扇形面積,以圓心角占周角比例求扇形面積,3
G09-S-ARCSECTOR-APP-01,S-9-5,圓,弧與扇形,複合弧長面積,結合多個扇形/弓形求周長或面積,5
G09-S-CENTERANGLE-01,S-9-6,圓,角與弧,圓心角與弧,建立圓心角度數與所對弧度數關係,3
G09-S-INSCRIBED-01,S-9-6,圓,角與弧,圓周角,同弧圓周角相等且為圓心角一半,4
G09-S-DIAMETER-ANGLE-01,S-9-6,圓,角與弧,直徑所對圓周角,理解半圓所對圓周角為90度,3
G09-S-CYCLIC-01,S-9-6,圓,內接多邊形,圓內接四邊形,利用對角互補求未知角,4
G09-S-TANGENTSEG-01,S-9-6,圓,切線,同外點切線段等長,利用兩切線段等長處理長度,4
G09-S-POINTCIRCLE-01,S-9-7,圓,位置關係,點與圓,依點到圓心距與半徑判內外上,2
G09-S-LINECIRCLE-01,S-9-7,圓,位置關係,直線與圓,依圓心到直線距離判割線切線不相交,3
G09-S-TANGENT-01,S-9-7,圓,切線,半徑垂直切線,利用切點半徑垂直切線求角/距離,4
G09-S-CHORDDIST-01,S-9-7,圓,弦,弦心距垂直平分弦,利用圓心到弦垂線平分弦,4
G09-S-CIRCLE-MIX-01,S-9-6 / S-9-7,圓,綜合,圓角弦切綜合,結合圓周角、切線、弦心距做多步推理,5
G09-S-CIRCUMCENTER-01,S-9-8,三角形的心,外心,外心與外接圓,由三邊中垂線交點理解外心,3
G09-S-CIRCUMCENTER-02,S-9-8,三角形的心,外心,外心到頂點等距,利用等距性質求長或判位置,4
G09-S-CIRCUMCENTER-03,S-9-8,三角形的心,外心,直角三角形外心,理解斜邊中點為外心,3
G09-S-INCENTER-01,S-9-9,三角形的心,內心,內心與內切圓,由三角平分線交點理解內心,3
G09-S-INCENTER-02,S-9-9,三角形的心,內心,到三邊等距,以垂距相等求未知長,4
G09-S-INCENTER-AREA-01,S-9-9,三角形的心,內心,面積與內切圓半徑,使用面積=周長×r÷2,4
G09-S-INCENTER-RT-01,S-9-9,三角形的心,內心,直角三角形內切圓半徑,使用r=(兩股和-斜邊)/2,4
G09-S-CENTROID-01,S-9-10,三角形的心,重心,重心與中線,理解三中線交點為重心,3
G09-S-CENTROID-RATIO-01,S-9-10,三角形的心,重心,2:1 分點,重心到頂點為到對邊中點的2倍,4
G09-S-CENTROID-AREA-01,S-9-10,三角形的心,重心,六等分面積,利用三中線將面積六等分,4
G09-S-CENTERS-COMPARE-01,S-9-8 / S-9-9 / S-9-10,三角形的心,比較,外心內心重心辨識,依構造、等距、線段與位置判斷是哪一個心,4
G09-S-PROOF-MEAN-01,S-9-11,證明,證明概念,敘述與理由,區分已知、求證、推理步驟與依據,3
G09-S-PROOF-GEO-01,S-9-11,證明,幾何證明,直接幾何推理,用已學相似、全等、平行、圓等性質寫證明,5
G09-S-PROOF-ALG-01,S-9-11,證明,代數證明,代數恆等與整除推理,用代數性質證明簡單數學敘述,5
G09-S-PROOF-COUNTER-01,S-9-11,證明,反例,用反例否定命題,找一個符合前提但不符合結論的反例,4
G09-S-SPACE-LINE-01,S-9-12,立體幾何,線與線,平行垂直歪斜,在長方體/正四面體判斷空間線線關係,3
G09-S-SPACE-LINEPLANE-01,S-9-12,立體幾何,線與面,線面平行垂直,判斷線與平面位置關係,4
G09-S-SPACE-VIEW-01,S-9-12,立體幾何,空間推理,示意圖判讀,從立體圖追蹤邊面關係,4
G09-S-PRISM-NET-01,S-9-13,立體幾何,柱體,直角柱展開圖,由底面與側面辨識/完成展開圖,3
G09-S-PRISM-SA-01,S-9-13,立體幾何,柱體,直角柱表面積,由兩底面加側面總面積,4
G09-S-PRISM-VOL-01,S-9-13,立體幾何,柱體,直角柱體積,使用底面積×高,3
G09-S-CONE-NET-01,S-9-13,立體幾何,圓錐,直圓錐展開圖,辨認側面扇形與底面圓,4
G09-S-CONE-SA-01,S-9-13,立體幾何,圓錐,直圓錐表面積,利用側面扇形弧長與底圓周長關係,5
G09-S-PYRAMID-NET-01,S-9-13,立體幾何,角錐,正角錐展開圖,辨認底面正多邊形與等腰三角形側面,4
G09-S-PYRAMID-SA-01,S-9-13,立體幾何,角錐,正角錐表面積,計算底面與各側面總面積,4
G09-F-QUAD-MEAN-01,F-9-1,二次函數,函數意義,二次函數與二次方程式區別,理解函數是對應關係而非求特定解,3
G09-F-QUAD-CONTEXT-01,F-9-1,二次函數,函數意義,具體二次關係,由面積、自由落體簡化模型等辨認二次關係,4
G09-F-PARABOLA-01,F-9-2,二次函數,圖形,y=ax²基本圖形,理解開口、頂點、對稱軸與a正負,3
G09-F-SHIFT-V-01,F-9-2,二次函數,圖形,y=ax²+k,"理解上下平移與頂點(0,k)",3
G09-F-SHIFT-H-01,F-9-2,二次函數,圖形,y=a(x-h)²,"理解左右平移與頂點(h,0)",3
G09-F-VERTEX-01,F-9-2,二次函數,圖形,y=a(x-h)²+k,由已配方形式直接讀頂點、對稱軸、開口,4
G09-F-EXTREME-01,F-9-2,二次函數,極值,最大值最小值,依開口方向與頂點判函數極值,4
G09-F-GRAPH-TRANS-01,F-9-2,二次函數,圖形,平移關係,比較y=ax²與已配方圖形的平移,4
G09-F-QUAD-GRAPH-APP-01,F-9-2,二次函數,圖形應用,由圖判讀參數與特性,"在已配方範圍內由圖形反推h,k與a的符號/大小",5
G09-D-RANGE-01,D-9-1,統計,資料分布,全距,最大值減最小值並解讀分散程度,2
G09-D-QUARTILE-01,D-9-1,統計,資料分布,四分位數,依排序資料找Q1、Q2、Q3,3
G09-D-IQR-01,D-9-1,統計,資料分布,四分位距,以Q3-Q1描述中間50%分布,3
G09-D-BOXPLOT-READ-01,D-9-1,統計,盒狀圖,盒狀圖報讀,讀最小/Q1/中位/Q3/最大及分布,4
G09-D-BOXPLOT-COMP-01,D-9-1,統計,盒狀圖,兩組資料比較,比較中位數、IQR與全距,5
G09-D-PROB-MEAN-01,D-9-2,機率,基本概念,機率與樣本空間,理解機率介於0與1並列出簡單結果,2
G09-D-TREE-01,D-9-2,機率,樹狀圖,兩層樹狀圖,系統列出兩階段結果，節點對稱為主,3
G09-D-TREE-PROB-01,D-9-2 / D-9-3,機率,樹狀圖,兩階段機率,以對稱樹狀圖計算事件機率,4
G09-D-CLASSICAL-01,D-9-3,機率,古典機率,等可能結果,用有利結果數/所有結果數,3
G09-D-COIN-DICE-01,D-9-3,機率,古典機率,硬幣骰子撲克牌抽球,辨識樣本空間並計算單/複事件,4
G09-D-COMPLEMENT-01,D-9-3,機率,古典機率,反事件初步,以1-P(A)處理至少/不是等簡單情境,4
G09-D-EXPERIMENT-01,D-9-3,機率,機率探究,不對稱物體實驗,以實驗相對次數探究圖釘/圓錐等非等可能結果,4
