micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,generation_status,naming_note
G06-N-PRIME-01-C1,G06-N-PRIME-01,N-6-1,因數與倍數進階,質數與合數,質數、合數與1,概念辨識,辨認20以內質數、合數及1的特殊性；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-PRIME-01-P1,G06-N-PRIME-01,N-6-1,因數與倍數進階,質數與合數,質數、合數與1,標準程序,辨認20以內質數、合數及1的特殊性；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-PRIME-01-R1,G06-N-PRIME-01,N-6-1,因數與倍數進階,質數與合數,質數、合數與1,逆向求未知,辨認20以內質數、合數及1的特殊性；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-01-A1,G06-N-PRIME-01,N-6-1,因數與倍數進階,質數與合數,質數、合數與1,情境應用,辨認20以內質數、合數及1的特殊性；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-01-V1,G06-N-PRIME-01,N-6-1,因數與倍數進階,質數與合數,質數、合數與1,表徵轉換,辨認20以內質數、合數及1的特殊性；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-02-C1,G06-N-PRIME-02,N-6-1,因數與倍數進階,質因數分解,質因數,概念辨識,辨認某數的質因數並連結因數概念；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-PRIME-02-P1,G06-N-PRIME-02,N-6-1,因數與倍數進階,質因數分解,質因數,標準程序,辨認某數的質因數並連結因數概念；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-PRIME-02-R1,G06-N-PRIME-02,N-6-1,因數與倍數進階,質因數分解,質因數,逆向求未知,辨認某數的質因數並連結因數概念；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-02-A1,G06-N-PRIME-02,N-6-1,因數與倍數進階,質因數分解,質因數,情境應用,辨認某數的質因數並連結因數概念；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-02-V1,G06-N-PRIME-02,N-6-1,因數與倍數進階,質因數分解,質因數,表徵轉換,辨認某數的質因數並連結因數概念；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-03-C1,G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,概念辨識,以短除法將合數表示為質因數乘積；本層重點：辨認定義、性質、數量角色或圖形結構,單一概念、直接辨識、配對或判斷,把表面特徵當核心概念,1,可自動生成,MathAI原創語義分類
G06-N-PRIME-03-P1,G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,標準程序,以短除法將合數表示為質因數乘積；本層重點：依標準步驟完成運算、作圖或轉換,單一程序、標準數值、一步到兩步,程序順序或位值/單位處理錯誤,2,可自動生成,MathAI原創語義分類
G06-N-PRIME-03-R1,G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,逆向求未知,以短除法將合數表示為質因數乘積；本層重點：由結果或部分條件反推未知數量,缺項、反求、逆運算或反向圖形,只會正向套公式，無法建立逆向關係,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-03-A1,G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,情境應用,以短除法將合數表示為質因數乘積；本層重點：從生活敘述辨認數量關係並選擇方法,文字題、表格、生活量、簡單多步驟,抓錯關鍵量或選錯運算,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-03-V1,G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,表徵轉換,以短除法將合數表示為質因數乘積；本層重點：在文字、算式、圖像、表格或數線間轉換,多表徵、圖示判讀、補圖/補表,只記算式而無法連結表徵,3,可自動生成,MathAI原創語義分類
G06-N-PRIME-03-T1,G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,變形進階,以短除法將合數表示為質因數乘積；本層重點：改變條件、加入干擾資訊或多步驟推理,多步驟、非直接套式、條件變化,忽略限制條件或中間量,4,可自動生成,MathAI原創語義分類
G06-N-PRIME-03-X1,G06-N-PRIME-03,N-6-1,因數與倍數進階,質因數分解,短除法質因數分解,跨單元整合,以短除法將合數表示為質因數乘積；本層重點：與前置單元共同解題並檢查合理性,兩個以上技能整合、素養閱讀,單點技能會但無法整合,5,可自動生成,MathAI原創語義分類
