skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G11B-N-RAD-01,N-11B-1,週期與成長模型,弧度量,弧度與度數,弧度定義、度弧互換與rad鍵,3
G11B-N-ARCLEN-01,N-11B-1,週期與成長模型,弧度量,弧長與扇形面積,用s=rθ及A=1/2r²θ處理生活情境,3
G11B-F-SINEGRAPH-01,F-11B-1,週期與成長模型,週期模型,正弦函數圖形,理解振幅、週期、頻率與相位直觀,3
G11B-F-PERIODMODEL-01,F-11B-1,週期與成長模型,週期模型,週期性現象建模,溫度、潮汐、日照等週期資料,4
G11B-F-EXPGROWTH-01,F-11B-2,週期與成長模型,成長模型,指數成長衰退,按固定比例成長/衰退模型,3
G11B-F-LOGMODEL-01,F-11B-2,週期與成長模型,成長模型,對數模型,地震規模等對數尺度解讀,4
G11B-F-FINANCE-01,F-11B-2,週期與成長模型,成長模型,金融與複利,平均成長率、連續複利與e的認識,5
G11B-F-LN-01,F-11B-2,週期與成長模型,成長模型,自然對數函數,以應用為主理解ln與e，不做過度代數操練,4
G11B-G-VEC-01,G-11B-1,向量與比例,平面向量,向量基本運算,坐標向量係數積、加減與線性組合,3
G11B-G-DOT-01,G-11B-2,向量與比例,平面向量,內積,正射影、夾角、平行垂直判定,4
G11B-G-PROJ-01,G-11B-2,向量與比例,平面向量,正射影,利用內積處理投影與方向,4
G11B-G-PROP-01,G-11B-3,向量與比例,平面比例,比例與設計,設計、透視、黃金比例等平面比例問題,4
G11B-G-SPACECOORD-01,G-11B-4,空間與視覺,空間坐標,空間點與距離,空間坐標、兩點距離與投影,3
G11B-G-GLOBE-01,G-11B-4 / S-11B-1,空間與視覺,球面座標,經緯度與空間坐標,由球心原點的經緯度理解空間位置,4
G11B-S-SPACE-01,S-11B-1,空間與視覺,空間概念,線與面的位置關係,線線、線面、面面平行垂直與歪斜,3
G11B-S-NETDIST-01,S-11B-1,空間與視覺,展開圖,表面最短距離,用長方體展開圖求表面兩點距離,4
G11B-S-GREATCIRCLE-01,S-11B-1,空間與視覺,球面,大圓與小圓,以地理脈絡辨識經緯圈與大圓,3
G11B-S-DIHEDRAL-01,S-11B-1,空間與視覺,兩面角,直角兩面角,只要求認識與直角情況，不做一般角度幾何計算,3
G11B-S-CONIC-01,S-11B-2,空間與視覺,圓錐曲線,圓錐截痕,視覺辨認圓、橢圓、拋物線、雙曲線，不做標準式推導,3
G11B-S-CONIC-APP-01,S-11B-2,空間與視覺,圓錐曲線,自然與設計中的圓錐曲線,辨識實物/影像中的曲線類型與特徵,4
G11B-A-MATDATA-01,A-11B-1,矩陣與資料,矩陣,矩陣作為資料表,以列欄整理資料並理解矩陣表示,2
G11B-A-MATOPS-01,A-11B-1,矩陣與資料,矩陣,矩陣加減係數積,資料表格運算,3
G11B-A-MATMUL-01,A-11B-1,矩陣與資料,矩陣,矩陣乘法,理解矩陣乘向量的線性組合意涵,4
G11B-A-INVERSE2-01,A-11B-1,矩陣與資料,矩陣,二階反方陣,以2階反方陣處理二元一次方程組,4
G11B-A-SYSTEM-01,A-11B-1,矩陣與資料,矩陣應用,二元一次方程組,將方程組以矩陣表示並解讀,4
G11B-D-SUBJOBJ-01,D-11B-1,不確定性,機率觀點,主觀與客觀機率,以資料與機率性質評估機率判斷,3
G11B-D-COND-01,D-11B-2,不確定性,條件機率,條件機率,以生活脈絡理解條件下的機率,4
G11B-D-BAYES-01,D-11B-2,不確定性,貝氏定理,貝氏更新,以列聯表/文氏圖/樹狀圖更新機率,5
G11B-D-INDEP-01,D-11B-2,不確定性,獨立事件,獨立性,辨別條件機率改變與事件獨立,4
G11B-D-TABLE-01,D-11B-2,不確定性,列聯表,列聯表與條件比例,從二維分類表計算條件機率並解讀,4
