micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G11A-N-RAD-01-C1,G11A-N-RAD-01,N-11A-1,三角函數,弧度量,弧度定義與換算,概念與條件辨識,理解弧長/半徑與弧度，度數與弧度互換；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-RAD-01-P1,G11A-N-RAD-01,N-11A-1,三角函數,弧度量,弧度定義與換算,標準程序,理解弧長/半徑與弧度，度數與弧度互換；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-RAD-01-V1,G11A-N-RAD-01,N-11A-1,三角函數,弧度量,弧度定義與換算,多表徵轉換,理解弧長/半徑與弧度，度數與弧度互換；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-RAD-01-R1,G11A-N-RAD-01,N-11A-1,三角函數,弧度量,弧度定義與換算,逆向驗證,理解弧長/半徑與弧度，度數與弧度互換；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-RAD-01-A1,G11A-N-RAD-01,N-11A-1,三角函數,弧度量,弧度定義與換算,情境建模,理解弧長/半徑與弧度，度數與弧度互換；第二層：從科學、金融、工程、設計或社會情境建立模型,應用建模,模型選擇與解釋錯誤,4,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-RAD-01-T1,G11A-N-RAD-01,N-11A-1,三角函數,弧度量,弧度定義與換算,條件變形,理解弧長/半徑與弧度，度數與弧度互換；第二層：加入參數、多步驟、空間/機率條件或跨表徵資訊,進階變形,整體條件控制失敗,4,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-ARCLEN-01-C1,G11A-N-ARCLEN-01,N-11A-1,三角函數,弧度量,弧長與扇形面積,概念與條件辨識,使用s=rθ與A=1/2 r²θ；第二層：辨認定義、符號、模型條件與適用範圍,概念判斷,混淆定義或忽略限制條件,1,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-ARCLEN-01-P1,G11A-N-ARCLEN-01,N-11A-1,三角函數,弧度量,弧長與扇形面積,標準程序,使用s=rθ與A=1/2 r²θ；第二層：依標準算法完成計算、推導、解式或矩陣運算,標準程序題,運算流程、符號或公式錯誤,2,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-ARCLEN-01-V1,G11A-N-ARCLEN-01,N-11A-1,三角函數,弧度量,弧長與扇形面積,多表徵轉換,使用s=rθ與A=1/2 r²θ；第二層：在文字、圖形、向量、矩陣、函數圖與機率表徵間轉換,圖↔式↔表,表徵轉換失去結構,3,普高G11數學A,MathAI普高11年級分流語義分類
G11A-N-ARCLEN-01-R1,G11A-N-ARCLEN-01,N-11A-1,三角函數,弧度量,弧長與扇形面積,逆向驗證,使用s=rθ與A=1/2 r²θ；第二層：由結果反求參數/條件並以代回、幾何或數值檢核,反推/驗算,只會正向套公式,3,普高G11數學A,MathAI普高11年級分流語義分類
