skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G10TB-NUM-01,N-10-1,坐標系與函數圖形,數線,數線與實數位置,複習正負數、分數小數與根號數在數線上的位置,2
G10TB-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值幾何意義,以距離理解|x-a|,3
G10TB-ABS-INEQ-01,N-10-2,坐標系與函數圖形,絕對值,基本絕對值不等式,處理|x-a|<b與|x-a|>b基本型,4
G10TB-COORD-01,N-10-3,坐標系與函數圖形,平面坐標系,坐標與兩點距離,熟練坐標、距離與中點/分點基礎,3
G10TB-FUNC-01,R-10-1,坐標系與函數圖形,線型函數,函數與y=f(x),由國中一次函數過渡到函數符號,3
G10TB-LINEAR-01,R-10-1,坐標系與函數圖形,線型函數,線型函數圖形,用描點或截距畫線型函數,3
G10TB-QUAD-01,R-10-2,坐標系與函數圖形,二次函數,二次函數基本圖形,理解開口、頂點、對稱軸與平移,3
G10TB-COMPLETE-01,A-10-1,坐標系與函數圖形,配方法,二次式配方,用乘法公式完成平方,4
G10TB-QUAD-EXTREME-01,R-10-2 / A-10-1,坐標系與函數圖形,二次函數,配方求極值,由已配方或基本配方判二次函數最大最小,4
G10TB-SLOPE-01,R-10-3,直線方程式,斜率,斜率,由兩點或圖形求斜率並解讀正負,3
G10TB-LINE-01,R-10-4,直線方程式,直線,點斜式與一般式,由一點與斜率寫直線；不強調被刪除型式,4
G10TB-PARPERP-01,R-10-3 / R-10-4,直線方程式,直線,平行垂直直線,利用斜率判斷與建立平行/垂直直線,4
G10TB-QUADINEQ-01,A-10-2,式的運算,二次不等式,一元二次不等式,用因式分解/圖形求解區間,4
G10TB-POLY-01,A-10-3,式的運算,多項式,多項式基本概念,項、係數、次數與基本運算,2
G10TB-FACTOR-01,A-10-4,式的運算,因式分解,因式分解,強化國中因式分解並連結二次不等式,4
G10TB-DIV-01,A-10-5,式的運算,除法原理,多項式除法與餘式,只以x-a作綜合除法核心,4
G10TB-REM-01,A-10-5,式的運算,除法原理,餘式定理,以代入求餘式並連結因式,3
G10TB-RATIONAL-01,A-10-6,式的運算,分式,分式運算,約分、通分與四則，保留定義域限制,4
G10TB-ANGLE-01,N-10-5,三角函數,角度,角度基本性質,角度、標準位置角與基本轉換,2
G10TB-RATIO-01,N-10-4,三角函數,比與比值,比與連比複習,連結三角形邊長比,2
G10TB-TRIG-ACUTE-01,N-10-6,三角函數,銳角三角函數,sin cos tan,由直角三角形定義三角比,3
G10TB-TRIG-ANY-01,N-10-7,三角函數,任意角,任意角三角函數,由標準位置角判三角函數值與正負,4
G10TB-TRIG-CALC-01,N-10-6 / N-10-7,三角函數,計算機,計算機三角函數,以計算機求值與反推角度的基本應用,3
G10TB-SIN-PERIOD-01,R-10-5,三角函數,週期現象,正弦函數週期,由週期現象辨認sin圖形,4
G10TB-COS-PERIOD-01,R-10-5,三角函數,週期現象,餘弦函數週期,由週期現象辨認cos圖形,4
G10TB-SINE-LAW-01,N-10-8,三角函數,三角形解法,正弦定理,解斜三角形並連結外接圓,4
G10TB-COSINE-LAW-01,N-10-9,三角函數,三角形解法,餘弦定理,由SAS/SSS求邊角,4
G10TB-TRI-MEASURE-01,N-10-8 / N-10-9,三角函數,測量,斜三角測量,以正弦/餘弦定理處理專業測量情境,5
G10TB-VEC-DRAW-01,S-10-3,平面向量,向量,向量作圖,向量加減與實數積的幾何作圖,3
G10TB-VEC-COORD-01,N-10-10,平面向量,向量,向量坐標表示,由端點求分量並做加減與實數積,3
G10TB-VEC-LEN-01,N-10-10,平面向量,向量,向量長度與平行,以分量求長並判斷平行,4
G10TB-DOT-01,N-10-11,平面向量,內積,向量內積,以分量或長度夾角計算內積,4
G10TB-DOT-ANGLE-01,N-10-11,平面向量,內積,夾角與垂直,由內積求夾角或判垂直,4
G10TB-CIRCLE-01,S-10-1,圓與直線,圓,圓標準式,由圓心半徑寫方程式並反讀,3
G10TB-CIRCLE-GEN-01,S-10-1,圓與直線,圓,圓一般式,以配方由一般式找圓心半徑,4
G10TB-LINECIRCLE-01,S-10-2,圓與直線,位置關係,直線與圓相交相切相離,以代數/幾何基本判定,4
G10TB-TANGENT-ATPOINT-01,S-10-2,圓與直線,切線,切點切線,利用半徑垂直切線；不做圓外點兩切線計算,4
G10TB-ARITH-01,N-10-12,數列與級數,等差數列,等差一般項,求公差、一般項與指定項,3
G10TB-ARITHSUM-01,N-10-12,數列與級數,等差級數,等差級數和,有限等差級數求和與應用,4
G10TB-GEO-01,N-10-13,數列與級數,等比數列,等比一般項,求公比、一般項與指定項,3
G10TB-GEOSUM-01,N-10-13,數列與級數,等比級數,有限等比級數和,有限級數及生活應用,4
G10TB-REC-01,N-10-12 / N-10-13,數列與級數,遞迴,簡單遞迴,由初值與簡單遞迴式列項，不涉及複雜一般項,4
