micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G10TC-REAL-01-C1,G10TC-REAL-01,N-10-1,坐標系與函數圖形,實數,實數與數線,概念辨識,有理無理數與數線、根式實數運算；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-REAL-01-P1,G10TC-REAL-01,N-10-1,坐標系與函數圖形,實數,實數與數線,標準程序,有理無理數與數線、根式實數運算；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-REAL-01-V1,G10TC-REAL-01,N-10-1,坐標系與函數圖形,實數,實數與數線,多表徵轉換,有理無理數與數線、根式實數運算；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-REAL-01-R1,G10TC-REAL-01,N-10-1,坐標系與函數圖形,實數,實數與數線,逆向驗證,有理無理數與數線、根式實數運算；第二層：反求條件並以代回、圖形或估算驗證,反推/驗算,只會正向套法,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-REAL-01-A1,G10TC-REAL-01,N-10-1,坐標系與函數圖形,實數,實數與數線,專業情境應用,有理無理數與數線、根式實數運算；第二層：連結群科專業、生活與測量情境建立模型,應用建模,單位、條件、模型選擇錯誤,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-IRR-01-C1,G10TC-IRR-01,N-10-1,坐標系與函數圖形,實數,無理數運算,概念辨識,根式與無理數四則及估值；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-IRR-01-P1,G10TC-IRR-01,N-10-1,坐標系與函數圖形,實數,無理數運算,標準程序,根式與無理數四則及估值；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-IRR-01-V1,G10TC-IRR-01,N-10-1,坐標系與函數圖形,實數,無理數運算,多表徵轉換,根式與無理數四則及估值；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-IRR-01-R1,G10TC-IRR-01,N-10-1,坐標系與函數圖形,實數,無理數運算,逆向驗證,根式與無理數四則及估值；第二層：反求條件並以代回、圖形或估算驗證,反推/驗算,只會正向套法,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-IRR-01-A1,G10TC-IRR-01,N-10-1,坐標系與函數圖形,實數,無理數運算,專業情境應用,根式與無理數四則及估值；第二層：連結群科專業、生活與測量情境建立模型,應用建模,單位、條件、模型選擇錯誤,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-IRR-01-T1,G10TC-IRR-01,N-10-1,坐標系與函數圖形,實數,無理數運算,條件變形,根式與無理數四則及估值；第二層：加入多步驟、參數、複合條件或干擾資訊,進階變形,局部會算但整體條件失控,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-AMGM-01-C1,G10TC-AMGM-01,N-10-1,坐標系與函數圖形,不等式,算幾不等式,概念辨識,兩正數算術平均≥幾何平均及等號條件；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-AMGM-01-P1,G10TC-AMGM-01,N-10-1,坐標系與函數圖形,不等式,算幾不等式,標準程序,兩正數算術平均≥幾何平均及等號條件；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-AMGM-01-V1,G10TC-AMGM-01,N-10-1,坐標系與函數圖形,不等式,算幾不等式,多表徵轉換,兩正數算術平均≥幾何平均及等號條件；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-AMGM-01-R1,G10TC-AMGM-01,N-10-1,坐標系與函數圖形,不等式,算幾不等式,逆向驗證,兩正數算術平均≥幾何平均及等號條件；第二層：反求條件並以代回、圖形或估算驗證,反推/驗算,只會正向套法,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-AMGM-01-A1,G10TC-AMGM-01,N-10-1,坐標系與函數圖形,不等式,算幾不等式,專業情境應用,兩正數算術平均≥幾何平均及等號條件；第二層：連結群科專業、生活與測量情境建立模型,應用建模,單位、條件、模型選擇錯誤,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-AMGM-01-T1,G10TC-AMGM-01,N-10-1,坐標系與函數圖形,不等式,算幾不等式,條件變形,兩正數算術平均≥幾何平均及等號條件；第二層：加入多步驟、參數、複合條件或干擾資訊,進階變形,局部會算但整體條件失控,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-ABS-01-C1,G10TC-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值與不等式,概念辨識,幾何意義與基本絕對值不等式；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-ABS-01-P1,G10TC-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值與不等式,標準程序,幾何意義與基本絕對值不等式；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-ABS-01-V1,G10TC-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值與不等式,多表徵轉換,幾何意義與基本絕對值不等式；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-ABS-01-R1,G10TC-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值與不等式,逆向驗證,幾何意義與基本絕對值不等式；第二層：反求條件並以代回、圖形或估算驗證,反推/驗算,只會正向套法,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-ABS-01-A1,G10TC-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值與不等式,專業情境應用,幾何意義與基本絕對值不等式；第二層：連結群科專業、生活與測量情境建立模型,應用建模,單位、條件、模型選擇錯誤,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-ABS-01-T1,G10TC-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值與不等式,條件變形,幾何意義與基本絕對值不等式；第二層：加入多步驟、參數、複合條件或干擾資訊,進階變形,局部會算但整體條件失控,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-COORD-01-C1,G10TC-COORD-01,S-10-1,坐標系與函數圖形,平面坐標,距離與分點,概念辨識,兩點距離與內分點公式；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-COORD-01-P1,G10TC-COORD-01,S-10-1,坐標系與函數圖形,平面坐標,距離與分點,標準程序,兩點距離與內分點公式；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-COORD-01-V1,G10TC-COORD-01,S-10-1,坐標系與函數圖形,平面坐標,距離與分點,多表徵轉換,兩點距離與內分點公式；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-COORD-01-R1,G10TC-COORD-01,S-10-1,坐標系與函數圖形,平面坐標,距離與分點,逆向驗證,兩點距離與內分點公式；第二層：反求條件並以代回、圖形或估算驗證,反推/驗算,只會正向套法,3,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-COORD-01-A1,G10TC-COORD-01,S-10-1,坐標系與函數圖形,平面坐標,距離與分點,專業情境應用,兩點距離與內分點公式；第二層：連結群科專業、生活與測量情境建立模型,應用建模,單位、條件、模型選擇錯誤,4,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-FUNC-01-C1,G10TC-FUNC-01,R-10-1,坐標系與函數圖形,函數,f(x)與函數圖形,概念辨識,理解函數意義、線型與二次函數；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-FUNC-01-P1,G10TC-FUNC-01,R-10-1,坐標系與函數圖形,函數,f(x)與函數圖形,標準程序,理解函數意義、線型與二次函數；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學C G10適齡,MathAI技高Track語義分類
G10TC-FUNC-01-V1,G10TC-FUNC-01,R-10-1,坐標系與函數圖形,函數,f(x)與函數圖形,多表徵轉換,理解函數意義、線型與二次函數；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學C G10適齡,MathAI技高Track語義分類
