skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G10G-N-REAL-01,N-10-1,實數與數線,實數,有理數與無理數,由小數表示辨認有理/無理數並理解實數完備數線,3
G10G-N-REAL-02,N-10-1,實數與數線,實數,無理數估算,以夾擠與計算機估算根號無理數,3
G10G-N-SCI-01,N-10-1,實數與數線,科學記號,科學記號運算,進行乘除與適當加減並保持尺度判斷,3
G10G-N-SIGFIG-01,N-10-1 / N-10-5,實數與數線,有效位數,有效位數,辨認有效位數並在運算後合理取捨,4
G10G-N-ERROR-01,N-10-5,實數與數線,誤差,數值誤差,辨認截斷/四捨五入與計算機有限精度造成的誤差,4
G10G-N-ABS-EQ-01,N-10-2,絕對值與區間,絕對值,絕對值方程式,以距離意義解|x-a|=b型方程式,3
G10G-N-ABS-INEQ-01,N-10-2,絕對值與區間,絕對值,絕對值不等式,以距離與數線解|x-a|<b或>b類型,4
G10G-N-INTERVAL-01,N-10-2 / F-10-3,絕對值與區間,區間,區間符號,在開閉區間與±∞中正確表示解集,3
G10G-N-ERROR-RANGE-01,N-10-2,絕對值與區間,應用,誤差範圍,把工程/商品誤差標示轉為絕對值不等式,4
G10G-N-EXP-FRAC-01,N-10-3,指數與對數,指數,分數次方,連結根式理解a^(m/n),3
G10G-N-EXP-REAL-01,N-10-3,指數與對數,指數,實數指數,理解由有理指數延伸至實數指數的意義與計算機表徵,4
G10G-N-GEOMEAN-01,N-10-3,指數與對數,不等式,幾何平均,理解正數幾何平均√ab,3
G10G-N-AMGM-01,N-10-3,指數與對數,不等式,算幾不等式,在兩正數情況使用(a+b)/2≥√ab及等號條件,4
G10G-N-LOG-01,N-10-4,指數與對數,常用對數,log意義,理解log a為10的何次方等於a,3
G10G-N-LOG-SCI-01,N-10-4,指數與對數,常用對數,對數與科學記號,用常用對數理解數量級與位數,4
G10G-N-LOG-CALC-01,N-10-4,指數與對數,常用對數,計算機log/10^x,利用計算機求log與反推正數,3
G10G-A-CUBICFORM-01,A-10-1,式的運算,乘法公式,立方和差公式,展開與辨識(a±b)^3,3
G10G-A-CUBICFORM-02,A-10-1,式的運算,乘法公式,和立方/差立方因式分解,使用a^3±b^3公式,4
G10G-A-RADICAL-01,A-10-1,式的運算,根式,根式綜合運算,含分母有理化與複合根式的年級適切運算,4
G10G-A-RATIONAL-01,A-10-1,式的運算,分式,分式四則,找公分母、約分與限制條件,4
G10G-A-REMAINDER-01,A-10-2,多項式,除法原理,餘式定理,以P(a)求除以x-a的餘式,3
G10G-A-FACTOR-THM-01,A-10-2,多項式,除法原理,因式定理,判斷x-a是否為多項式因式,3
