skill_id,official_code,mathai_main_unit,mathai_subunit,skill_name,focus,question_types,common_errors,prerequisite,next_skill,difficulty
G05-N-DEC-PLACE-01,N-5-1,數與位值,大數與多位小數,大數讀寫與位值,兆位至千分位的位名、位值與數字結構,位值辨識；數字改寫；指定數位,把位名與數值混淆；小數點位移錯誤,G04-N-PLACE-01,G05-N-DEC-PLACE-02,1
G05-N-DEC-PLACE-02,N-5-1,數與位值,大數與多位小數,位值單位化聚,跨位值單位換算與十進位關係,化聚；單位換算；數線定位,10倍/0.1倍方向判斷錯誤,G05-N-DEC-PLACE-01,G05-N-DEC-CMP-01,2
G05-N-DEC-CMP-01,N-5-1,數與位值,大數與多位小數,多位小數比較,利用位值逐位比較大小,大小比較；排序；數線判讀,只看位數長短；補0概念錯誤,G05-N-DEC-PLACE-02,G05-N-DEC-ROUND-01,2
G05-N-DEC-ROUND-01,N-5-11,數與位值,概數與估算,小數取概數,指定數位四捨五入與合理估算,取概數；近似值；估算檢核,看錯指定數位；進位後位值錯,G05-N-DEC-CMP-01,G06-N-DEC-DIV-03,2
G05-N-FACTOR-01,N-5-3,因數與倍數,因數與公因數,整除與因數,由整除關係判斷並列出因數,列因數；配對因數；判斷整除,漏列1或本身；因數倍數顛倒,G04-N-MULDIV-APP-01,G05-N-GCF-01,2
G05-N-GCF-01,N-5-3,因數與倍數,因數與公因數,公因數與最大公因數,比較兩數因數集合並找最大公因數,集合交集；最大分組；等分情境,把最大公因數當公倍數,G05-N-FACTOR-01,G06-N-PRIME-01,3
G05-N-MULTIPLE-01,N-5-3,因數與倍數,倍數與公倍數,倍數與判別,列倍數並使用2、5、10倍數特徵,倍數序列；末位判別；反推數字,把判別規則套到非2/5/10,G04-N-MULDIV-APP-01,G05-N-LCM-01,2
G05-N-LCM-01,N-5-3,因數與倍數,倍數與公倍數,公倍數與最小公倍數,找共同倍數與最小公倍數並解週期問題,週期重合；同時發生；最小單位,只列一方倍數；未取最小,G05-N-MULTIPLE-01,G06-N-PRIME-01,3
G05-N-FRAC-EQV-01,N-5-4,分數,等值分數,擴分與約分,分子分母同乘或同除保持分數值不變,擴分；約分；找等值分數,只改分子或分母,G04-N-FRAC-EQV-01,G05-N-FRAC-COMMON-01,2
G05-N-FRAC-COMMON-01,N-5-4,分數,等值分數,通分與大小比較,以共同分母比較異分母分數,通分；大小比較；由大小反推缺數,共同分母選錯；通分倍數不同步,G05-N-FRAC-EQV-01,G05-N-FRAC-ADD-01,3
G05-N-FRAC-ADD-01,N-5-4,分數,異分母分數加減,異分母分數加法,先通分再相加並處理帶分數,計算題；填空；文字題,直接分母相加；帶分數進位錯,G05-N-FRAC-COMMON-01,G05-N-FRAC-SUB-01,3
G05-N-FRAC-SUB-01,N-5-4,分數,異分母分數加減,異分母分數減法,先通分再相減，含借位與帶分數,計算題；比較差；剩餘情境,借位後整數/分數處理錯,G05-N-FRAC-ADD-01,G05-N-FRAC-MUL-01,3
G05-N-FRAC-DIVREP-01,N-5-6,分數,分數與除法,整數相除分數表示,理解 a÷b=a/b 與分配情境,平均分；商的分數表示；分數小數連結,除數被除數位置顛倒,G04-N-DIV4X2-01,G05-N-FRAC-DIVINT-01,2
G05-N-FRAC-MUL-01,N-5-5,分數,分數乘法,整數乘分數,理解某數的幾分之幾並計算,部分量；圖示；單位量倍數,只乘分子或誤當加法,G05-N-FRAC-COMMON-01,G05-N-FRAC-MUL-02,3
G05-N-FRAC-MUL-02,N-5-5,分數,分數乘法,分數乘分數,理解分數倍與乘積大小關係,面積模型；比例部分量；乘積判斷,未約分；乘數小於1時量感錯,G05-N-FRAC-MUL-01,G06-N-FRAC-DIV-01,4
G05-N-FRAC-DIVINT-01,N-5-7,分數,分數除法初步,分數除以整數,將分數平均分成若干份並計算,平均分；單位分數；圖像模型,誤用整數除分數規則,G05-N-FRAC-DIVREP-01,G06-N-FRAC-DIV-01,3
G05-N-DEC-MUL-01,N-5-8,小數運算,小數乘法,小數乘整數,由整數倍延伸小數乘法,直式；估算；生活金額,小數點位置只靠背規則,G04-N-DEC2-01,G05-N-DEC-MUL-02,2
G05-N-DEC-MUL-02,N-5-8,小數運算,小數乘法,小數乘小數,依位值與積的量感定位小數點,直式；面積模型；積大小判斷,位數計數錯；乘數<1仍認為積變大,G05-N-DEC-MUL-01,G06-N-DEC-DIV-01,4
G05-N-DEC-DIV-01,N-5-9,小數運算,整數與小數除法,整數除以整數商為小數,除不盡時延伸小數位計算,直式；平均分；商的合理性,補0位置錯；餘數位值不理解,G04-N-DIV4X2-01,G05-N-DEC-DIV-02,3
G05-N-DEC-DIV-02,N-5-9,小數運算,整數與小數除法,小數除以整數,保持位值進行小數除法,直式；單價；平均量,商小數點未對齊被除數,G05-N-DEC-DIV-01,G06-N-DEC-DIV-01,3
G05-N-RATE-01,N-5-10,比率與百分率,比率,部分量與全體量,比率=部分量÷全體量並判讀意義,命中率；出席率；濃度初步,分母選錯；把百分率當量,G05-N-FRAC-DIVREP-01,G05-N-PERCENT-01,3
G05-N-PERCENT-01,N-5-10,比率與百分率,百分率,分數小數百分率互換,建立1%=0.01=1/100並做互換,折扣標示；比例圖；互換,百分號去掉未除100,G05-N-RATE-01,G06-N-RATIO-01,3
G05-N-TIME-01,N-5-16,時間量,時間乘除,時間乘法,複名數時間乘整數與進位,工時累計；重複活動；時分秒,60進位誤當100進位,G04-N-TIMEAPP-01,G05-N-TIME-02,3
G05-N-TIME-02,N-5-16,時間量,時間乘除,時間除法,複名數時間除以整數與退位,平均時間；單次時間；時刻間隔,單位未統一；退位換算錯,G05-N-TIME-01,G06-N-SPEED-01,4
G05-S-POLY-01,S-5-1,幾何性質,多邊形,三角形邊長關係,任意兩邊和大於第三邊並做可行性判斷,能否成三角形；未知邊範圍,只檢查一組兩邊,G04-S-TRI-CLASS-01,G05-S-ANGLE-01,3
G05-S-ANGLE-01,S-5-1,幾何性質,多邊形,三角形與四邊形內角,三角形180°及四邊形360°的推理與求角,未知角；拼圖；多步驟角度,把外角/內角混淆,G05-S-POLY-01,G06-S-ARC-01,3
G05-S-SECTOR-01,S-5-3,幾何性質,扇形,扇形與圓心角,辨識扇形並連結圓心角與幾分之幾圓,圖形辨識；分數圓；角度反推,只要兩條半徑就視為扇形,G05-S-ANGLE-01,G06-S-ARC-01,2
G05-S-SYM-01,S-5-4,幾何變換,線對稱,線對稱性質,對稱軸、對稱點線段垂直平分等性質,找對稱軸；補圖；座標格繪圖,對稱點到軸距離不等,G04-S-CONGRUENT-MAP-01,G07-S-SYM-PROP-01,3
G05-S-AREA-PARA-01,S-5-2,面積,平面圖形面積,平行四邊形面積,以剪拼推導底×高並辨識對應高,求面積；反求底高；等積變形,把斜邊當高,G04-S-RECTAREA-01,G05-S-AREA-TRI-01,3
G05-S-AREA-TRI-01,S-5-2,面積,平面圖形面積,三角形面積,以倍積關係理解底×高÷2,求面積；反求高；複合圖形,忘除2；底高不垂直,G05-S-AREA-PARA-01,G05-S-AREA-TRAP-01,3
G05-S-AREA-TRAP-01,S-5-2,面積,平面圖形面積,梯形面積,理解(上底+下底)×高÷2,求面積；反求高；拼補轉化,上下底辨識錯；忘記括號,G05-S-AREA-TRI-01,G06-S-ARC-01,4
