skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G10TC-REAL-01,N-10-1,坐標系與函數圖形,實數,實數與數線,有理無理數與數線、根式實數運算,3
G10TC-IRR-01,N-10-1,坐標系與函數圖形,實數,無理數運算,根式與無理數四則及估值,4
G10TC-AMGM-01,N-10-1,坐標系與函數圖形,不等式,算幾不等式,兩正數算術平均≥幾何平均及等號條件,4
G10TC-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值與不等式,幾何意義與基本絕對值不等式,4
G10TC-COORD-01,S-10-1,坐標系與函數圖形,平面坐標,距離與分點,兩點距離與內分點公式,3
G10TC-FUNC-01,R-10-1,坐標系與函數圖形,函數,f(x)與函數圖形,理解函數意義、線型與二次函數,3
G10TC-QUAD-01,R-10-1,坐標系與函數圖形,二次函數,配方與極值,用配方法求頂點與最大最小,4
G10TC-QUADINEQ-01,R-10-1,坐標系與函數圖形,二次不等式,一元二次不等式,用零點與圖形求解，不含高次/根式不等式,5
G10TC-RATINEQ-01,R-10-1,坐標系與函數圖形,二次不等式,簡單分式不等式,應用可含分子分母皆一次的分式不等式,5
G10TC-DIRANGLE-01,N-10-3,三角函數,有向角,有向角與弧度,角度方向、弧度、扇形弧長與面積,4
G10TC-TRIG6-01,S-10-2,三角函數,銳角三角函數,六個三角函數,定義sin cos tan cot sec csc與基本關係,4
G10TC-TRIG-BASICREL-01,A-10-1,三角函數,基本性質,平方倒數商數關係,使用三角函數基本恆等關係,4
G10TC-TRIG-ANY-01,R-10-2,三角函數,任意角,任意角六個三角函數,依象限與終邊計算,4
G10TC-TRIG-GRAPH-01,R-10-3,三角函數,圖形週期,六個三角函數圖形,認識圖形與週期，重點sin/cos平移伸縮,5
G10TC-SINE-LAW-01,S-10-3,三角函數,解三角形,正弦定理,解斜三角形與測量,4
G10TC-COSINE-LAW-01,S-10-3,三角函數,解三角形,餘弦定理,SAS/SSS求邊角,4
G10TC-TRIAREA-01,S-10-2 / S-10-3,三角函數,面積,兩邊夾角面積,使用1/2 ab sin C求面積,4
G10TC-TRIG-CALC-01,S-10-2 / R-10-2,三角函數,計算機,三角函數與反三角鍵,計算機求值與由比值求角，不做反三角嚴格理論,4
G10TC-VEC-01,S-10-4,平面向量,向量,向量和差與實數積,理解物理意義、單位向量與基本運算,3
G10TC-VEC-COORD-01,S-10-4,平面向量,向量,向量坐標,以坐標處理向量加減與長度,3
G10TC-DOT-01,S-10-5,平面向量,內積,向量內積,分量/夾角內積與平行垂直,4
G10TC-DET2-01,S-10-6,平面向量,內積應用,二階行列式,只做基本展開並連結三角形面積,4
G10TC-CAUCHY-01,S-10-6,平面向量,內積應用,柯西不等式,以向量內積理解基本柯西不等式,5
G10TC-PROJ-01,S-10-6,平面向量,內積應用,正射影,利用內積求一向量在另一向量上的正射影,5
G10TC-POLY-OPS-01,A-10-2,式的運算,多項式,多項式四則,含除法原理與綜合除法,4
G10TC-REM-01,A-10-3,式的運算,多項式,餘式與因式定理,P(a)、因式檢驗與三次公式連結,4
G10TC-POLYEQ-01,A-10-4,式的運算,多項方程式,多項式方程式,以因式分解等方法解低次多項式方程,4
G10TC-COMPLEX-01,A-10-4,式的運算,複數,虛根與複數,一元二次虛根及複數四則,5
G10TC-ROOTCOEF-01,A-10-4,式的運算,方程式,根與係數,一元二次方程根與係數基本關係,5
G10TC-RATIONAL-01,A-10-5,式的運算,分式,分式運算,分式四則與部分分式基礎,5
G10TC-RADICAL-01,A-10-5,式的運算,根式,根式運算,根式四則與有理化,4
G10TC-LINE-01,S-10-7,直線與圓,直線,直線方程式,斜角斜率、點斜式、截距式與一般式,4
G10TC-LINE-DIST-01,S-10-7,直線與圓,距離,點線與平行線距離,公式計算與專業情境,4
G10TC-CIRCLE-01,S-10-8,直線與圓,圓,圓標準式一般式參數式,三種表示法互換；不處理兩圓關係,4
G10TC-LINECIRCLE-01,S-10-9,直線與圓,位置關係,直線與圓,判相交相切相離,4
G10TC-TANGENT-01,S-10-9,直線與圓,切線,圓的切線,由切點/外點條件處理切線與切線段長,5
G10TC-ARITH-01,N-10-4,數列與級數,等差,等差數列級數,一般項、級數和與Σ基本操作,4
G10TC-GEO-01,N-10-5,數列與級數,等比,等比數列級數,一般項、有限級數與生活應用,4
G10TC-SUM-01,N-10-4 / N-10-5,數列與級數,求和,Σ與常用求和,Σ符號基本操作與常用有限求和,4
G10TC-COUNT-01,D-10-1,排列組合,計數,加乘原理與樹狀圖,有系統窮舉與基本計數,3
G10TC-PERM-01,D-10-1,排列組合,排列,直線排列,相異/不盡相異排列，不含環狀排列,4
G10TC-COMB-01,D-10-2,排列組合,組合,組合基本概念,選取而不計順序，不含重複組合/二項式定理,4
