skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G10TA-NUM-01,N-10-1,坐標系與函數圖形,數線,數線與實數位置,複習正負數、分數小數與根號數在數線上的位置,2
G10TA-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值幾何意義,以距離理解|x-a|,3
G10TA-ABS-INEQ-01,N-10-2,坐標系與函數圖形,絕對值,基本絕對值不等式,處理|x-a|<b與|x-a|>b基本型,4
G10TA-COORD-01,N-10-3,坐標系與函數圖形,平面坐標系,坐標與兩點距離,熟練坐標、距離與中點/分點基礎,3
G10TA-FUNC-01,R-10-1,坐標系與函數圖形,線型函數,函數與y=f(x),由國中一次函數過渡到函數符號,3
G10TA-LINEAR-01,R-10-1,坐標系與函數圖形,線型函數,線型函數圖形,用描點或截距畫線型函數,3
G10TA-QUAD-01,R-10-2,坐標系與函數圖形,二次函數,二次函數基本圖形,理解開口、頂點、對稱軸與平移,3
G10TA-COMPLETE-01,A-10-1,坐標系與函數圖形,配方法,二次式配方,用乘法公式完成平方,4
G10TA-QUAD-EXTREME-01,R-10-2 / A-10-1,坐標系與函數圖形,二次函數,配方求極值,由已配方或基本配方判二次函數最大最小,4
G10TA-SLOPE-01,R-10-3,直線方程式,斜率,斜率,由兩點或圖形求斜率並解讀正負,3
G10TA-LINE-01,R-10-4,直線方程式,直線,點斜式與一般式,由一點與斜率寫直線；不強調被刪除型式,4
G10TA-PARPERP-01,R-10-3 / R-10-4,直線方程式,直線,平行垂直直線,利用斜率判斷與建立平行/垂直直線,4
G10TA-POLY-01,A-10-2,式的運算,多項式,多項式基本概念,項、係數、次數與多項式運算複習,2
G10TA-REM-01,A-10-3,式的運算,多項式,餘式定理,以P(a)求除以x-a的餘式,3
G10TA-FACTORTHM-01,A-10-3,式的運算,多項式,因式定理,以P(a)=0判x-a為因式,3
G10TA-SYNTH-01,A-10-3,式的運算,多項式,x-a綜合除法,只處理除式x-a,4
G10TA-FACTOR-01,A-10-4,式的運算,因式分解,因式分解策略,公因式、公式、十字交乘與因式定理,4
G10TA-ANGLE-01,N-10-4,三角函數,角度,角度基本性質,角度、標準位置角與基本轉換,2
G10TA-RATIO-01,N-10-5,三角函數,比與比值,比與連比複習,連結三角形邊長比,2
G10TA-TRIG-ACUTE-01,N-10-6,三角函數,銳角三角函數,sin cos tan,由直角三角形定義三角比,3
G10TA-TRIG-ANY-01,N-10-7,三角函數,任意角,任意角三角函數,由標準位置角判三角函數值與正負,4
G10TA-TRIG-CALC-01,N-10-6 / N-10-7,三角函數,計算機,計算機三角函數,以計算機求值與反推角度的基本應用,3
G10TA-SIN-PERIOD-01,R-10-5,三角函數,週期現象,正弦函數週期,由週期現象辨認sin圖形,4
G10TA-COS-PERIOD-01,R-10-5,三角函數,週期現象,餘弦函數週期,由週期現象辨認cos圖形,4
G10TA-MEASURE-01,S-10-1,三角函數,三角測量,基本三角測量,只用直角三角形三角比做測量，不用正餘弦定理,4
G10TA-CIRCLE-01,S-10-2,圓與直線,圓,圓標準式,由圓心半徑寫方程式並反讀,3
G10TA-CIRCLE-GEN-01,S-10-2,圓與直線,圓,圓一般式,以配方由一般式找圓心半徑,4
G10TA-LINECIRCLE-01,S-10-3,圓與直線,位置關係,直線與圓相交相切相離,以代數/幾何基本判定,4
G10TA-TANGENT-ATPOINT-01,S-10-3,圓與直線,切線,切點切線,利用半徑垂直切線；不做圓外點兩切線計算,4
G10TA-ARITH-01,N-10-8,數列與級數,等差數列,等差一般項,求公差、一般項與指定項,3
G10TA-ARITHSUM-01,N-10-8,數列與級數,等差級數,等差級數和,有限等差級數求和與應用,4
G10TA-GEO-01,N-10-9,數列與級數,等比數列,等比一般項,求公比、一般項與指定項,3
G10TA-GEOSUM-01,N-10-9,數列與級數,等比級數,有限等比級數和,有限級數及生活應用,4
G10TA-REC-01,N-10-8 / N-10-9,數列與級數,遞迴,簡單遞迴,由初值與簡單遞迴式列項，不涉及複雜一般項,4
