micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G12B-N-COMPLEX-01-C1,G12B-N-COMPLEX-01,N-12乙-1,複數與級數,複數,複數平面,概念與條件辨識,由a+bi對應平面點；第二層：辨認定義、極限/導數/積分/機率模型的成立條件,概念判斷,忽略定義域、收斂或模型條件,1,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-01-P1,G12B-N-COMPLEX-01,N-12乙-1,複數與級數,複數,複數平面,標準程序,由a+bi對應平面點；第二層：依標準算法完成極限、微分、積分、複數或分布計算,標準程序題,運算或公式套用錯誤,2,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-01-V1,G12B-N-COMPLEX-01,N-12乙-1,複數與級數,複數,複數平面,多表徵轉換,由a+bi對應平面點；第二層：在圖形、數式、表格、機率分配與幾何圖間轉換,圖↔式↔表,表徵轉換失去條件/幾何意義,3,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-01-R1,G12B-N-COMPLEX-01,N-12乙-1,複數與級數,複數,複數平面,逆向驗證,由a+bi對應平面點；第二層：由結果反求參數/條件並檢查合理性,反推/驗算,只會正向計算,3,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-01-A1,G12B-N-COMPLEX-01,N-12乙-1,複數與級數,複數,複數平面,情境建模,由a+bi對應平面點；第二層：從科學、工程、金融、商管或機率情境建模,應用建模,模型選擇與答案解釋錯誤,4,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-01-T1,G12B-N-COMPLEX-01,N-12乙-1,複數與級數,複數,複數平面,條件變形,由a+bi對應平面點；第二層：加入參數、多區間、複合函數、多階段隨機條件,進階變形,局部正確但整體條件失控,4,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-OPS-01-C1,G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,概念與條件辨識,熟練四則與模長，不進極式/棣美弗；第二層：辨認定義、極限/導數/積分/機率模型的成立條件,概念判斷,忽略定義域、收斂或模型條件,1,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-OPS-01-P1,G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,標準程序,熟練四則與模長，不進極式/棣美弗；第二層：依標準算法完成極限、微分、積分、複數或分布計算,標準程序題,運算或公式套用錯誤,2,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-OPS-01-V1,G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,多表徵轉換,熟練四則與模長，不進極式/棣美弗；第二層：在圖形、數式、表格、機率分配與幾何圖間轉換,圖↔式↔表,表徵轉換失去條件/幾何意義,3,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-OPS-01-R1,G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,逆向驗證,熟練四則與模長，不進極式/棣美弗；第二層：由結果反求參數/條件並檢查合理性,反推/驗算,只會正向計算,3,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-OPS-01-A1,G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,情境建模,熟練四則與模長，不進極式/棣美弗；第二層：從科學、工程、金融、商管或機率情境建模,應用建模,模型選擇與答案解釋錯誤,4,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-OPS-01-T1,G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,條件變形,熟練四則與模長，不進極式/棣美弗；第二層：加入參數、多區間、複合函數、多階段隨機條件,進階變形,局部正確但整體條件失控,4,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-COMPLEX-OPS-01-X1,G12B-N-COMPLEX-OPS-01,N-12乙-1,複數與級數,複數,複數四則與絕對值,跨主題整合,熟練四則與模長，不進極式/棣美弗；第二層：整合極限、微積分、複數、幾何與機率,跨章整合,無法辨識跨主題知識鏈,5,普高G12數學乙,MathAI普高12年級選修語義分類
G12B-N-INFGEOSER-01-C1,G12B-N-INFGEOSER-01,N-12乙-2,複數與級數,無窮等比級數,無窮等比級數,概念與條件辨識,|r|<1時求和；第二層：辨認定義、極限/導數/積分/機率模型的成立條件,概念判斷,忽略定義域、收斂或模型條件,1,普高G12數學乙,MathAI普高12年級選修語義分類
