skill_id,official_code,main_unit,subunit,skill_name,focus,difficulty
G11A-N-RAD-01,N-11A-1,三角函數,弧度量,弧度定義與換算,理解弧長/半徑與弧度，度數與弧度互換,3
G11A-N-ARCLEN-01,N-11A-1,三角函數,弧度量,弧長與扇形面積,使用s=rθ與A=1/2 r²θ,3
G11A-F-TRIGGRAPH-01,F-11A-1,三角函數,函數圖形,sin/cos圖形,掌握定義域、值域、週期與對稱,3
G11A-F-TANGRAPH-01,F-11A-1,三角函數,函數圖形,tan圖形,掌握週期、零點與漸近線概念,4
G11A-G-SUMDIFF-01,G-11A-5,三角函數,和差角,正弦餘弦和差角,正確套用sin(α±β)、cos(α±β),4
G11A-G-DOUBLE-01,G-11A-5,三角函數,和差角,倍角公式,由和角公式推得與應用sin2θ、cos2θ,4
G11A-G-HALF-01,G-11A-5,三角函數,和差角,半角公式,理解半角值與正負號需依角所在範圍判斷,5
G11A-F-SUPERPOSE-01,F-11A-2,三角函數,正餘弦疊合,asinx+bcosx疊合,轉成Rsin(x+φ)或Rcos(x-φ)理解振幅與相位,5
G11A-F-PERIODMODEL-01,F-11A-1 / F-11A-2,三角函數,週期模型,週期現象建模,由資料辨認振幅、週期、頻率、相位,5
G11A-A-LOGLAW-01,A-11A-4,指數對數,對數律,乘除冪對數律,由指數律推得log乘積/商/次方規則,4
G11A-A-CHANGEBASE-01,A-11A-4,指數對數,對數律,換底公式,一般底對數換至常用對數計算,4
G11A-F-EXPGRAPH-01,F-11A-4,指數對數,指數函數,指數函數圖形,比較a>1與0<a<1的增減與漸近,3
G11A-F-LOGGRAPH-01,F-11A-4,指數對數,對數函數,對數函數圖形,理解與指數函數互為反函數的圖形關係,4
G11A-F-EXPEQ-01,F-11A-4 / A-11A-4,指數對數,方程式,指數與對數方程式,利用同底、對數律與計算機求解,4
G11A-F-GROWTH-01,F-11A-4,指數對數,應用,成長與衰退模型,金融、科學與比例成長衰退情境建模,5
G11A-G-VEC-01,G-11A-1,向量與空間,平面向量,向量線性組合,以位置向量做係數積、加減與線性組合,3
G11A-G-VEC-DOT-01,G-11A-6,向量與空間,平面向量運算,平面向量內積,由分量或長度夾角計算內積,4
G11A-G-VEC-PROJ-01,G-11A-6,向量與空間,平面向量運算,正射影,以內積求向量投影長與投影向量,4
G11A-G-VEC-AREA-01,G-11A-6,向量與空間,平面向量運算,二階行列式與面積,用行列式表示平行四邊形/三角形面積,4
G11A-G-VEC-CAUCHY-01,G-11A-4 / G-11A-6,向量與空間,不等式,三角/柯西不等式,以長度與內積理解三角不等式與柯西,5
G11A-G-SPACECOORD-01,G-11A-2,向量與空間,空間坐標,空間點坐標與距離,三維坐標、兩點距離與投影,3
G11A-G-SPACEVEC-01,G-11A-3,向量與空間,空間向量,空間向量線性組合,三維向量加減與係數積,4
G11A-G-SPACE-DOT-01,G-11A-7,向量與空間,空間向量運算,空間向量內積,判平行垂直、夾角與正射影,4
G11A-G-CROSS-01,G-11A-7,向量與空間,空間向量運算,外積,理解外積方向與面積意義,5
G11A-G-DET3-01,G-11A-8,向量與空間,三階行列式,三重積,以三階行列式求平行六面體體積,5
G11A-S-SPACE-01,S-11A-1,向量與空間,空間概念,線線線面面面關係,辨認平行、垂直、歪斜與兩面角,4
G11A-S-THREEPERP-01,S-11A-1,向量與空間,空間概念,三垂線定理,在空間幾何中辨認與使用三垂線關係,5
G11A-G-PLANE-01,G-11A-9,向量與空間,平面方程式,法向量與平面標準式,由點與法向量寫平面方程式,4
G11A-G-PLANEANGLE-01,G-11A-9,向量與空間,平面方程式,兩平面夾角,以法向量內積求夾角,5
G11A-G-POINTPLANE-01,G-11A-9,向量與空間,平面方程式,點到平面距離,由標準式計算距離,5
G11A-G-SPACELINE-01,G-11A-10,向量與空間,空間直線,參數式與比例式,由點與方向向量表示空間直線,4
G11A-G-LINEPLANE-01,G-11A-10,向量與空間,空間直線,直線與平面關係,用方向向量與法向量判平行/垂直/相交,5
G11A-G-SKEWDIST-01,G-11A-10,向量與空間,空間直線,平行/歪斜線距離,使用向量與投影處理距離,5
G11A-A-MAT2SYS-01,A-11A-1,矩陣與方程組,矩陣表達,二元方程組矩陣化,理解方陣乘向量的線性組合意涵,4
G11A-A-CRAMER-01,A-11A-1,矩陣與方程組,二元方程組,克拉瑪公式,以二階行列式連結唯一解與面積,5
G11A-A-SYS-TYPE-01,A-11A-1,矩陣與方程組,方程組分類,唯一/無窮/無解,從代數或幾何判斷解的型態,5
