micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G10G-N-REAL-01-C1,G10G-N-REAL-01,N-10-1,實數與數線,實數,有理數與無理數,概念與條件辨識,由小數表示辨認有理/無理數並理解實數完備數線；第二層：辨認定義、適用條件、符號、函數/幾何角色,概念判斷、條件辨識,忽略定義域、限制條件或符號方向,1,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-01-P1,G10G-N-REAL-01,N-10-1,實數與數線,實數,有理數與無理數,標準程序,由小數表示辨認有理/無理數並理解實數完備數線；第二層：依標準算法完成運算、解式、作圖、統計或機率,標準計算/推導,代數程序、變形或公式套用錯誤,2,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-01-V1,G10G-N-REAL-01,N-10-1,實數與數線,實數,有理數與無理數,多表徵轉換,由小數表示辨認有理/無理數並理解實數完備數線；第二層：在文字、代數式、數線、函數圖、坐標、統計圖間轉換,式↔圖↔表↔文字,轉換後遺失定義域、方向或幾何意義,3,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-01-R1,G10G-N-REAL-01,N-10-1,實數與數線,實數,有理數與無理數,逆向與驗證,由小數表示辨認有理/無理數並理解實數完備數線；第二層：由結果反求參數/條件並以代回、圖形、估算驗證,反推、驗證、找錯,只會正向算法，無法檢查必要充分性,3,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-01-A1,G10G-N-REAL-01,N-10-1,實數與數線,實數,有理數與無理數,情境建模,由小數表示辨認有理/無理數並理解實數完備數線；第二層：從科學、工程、數據或生活情境建立模型並解釋,建模應用題,模型選擇、變數設定、單位或答案詮釋錯誤,4,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-01-T1,G10G-N-REAL-01,N-10-1,實數與數線,實數,有理數與無理數,條件變形,由小數表示辨認有理/無理數並理解實數完備數線；第二層：加入參數、絕對值、分式根式、多區間或多步驟條件,進階變形題,局部技巧正確但整體條件控制失敗,4,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-02-C1,G10G-N-REAL-02,N-10-1,實數與數線,實數,無理數估算,概念與條件辨識,以夾擠與計算機估算根號無理數；第二層：辨認定義、適用條件、符號、函數/幾何角色,概念判斷、條件辨識,忽略定義域、限制條件或符號方向,1,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-02-P1,G10G-N-REAL-02,N-10-1,實數與數線,實數,無理數估算,標準程序,以夾擠與計算機估算根號無理數；第二層：依標準算法完成運算、解式、作圖、統計或機率,標準計算/推導,代數程序、變形或公式套用錯誤,2,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-02-V1,G10G-N-REAL-02,N-10-1,實數與數線,實數,無理數估算,多表徵轉換,以夾擠與計算機估算根號無理數；第二層：在文字、代數式、數線、函數圖、坐標、統計圖間轉換,式↔圖↔表↔文字,轉換後遺失定義域、方向或幾何意義,3,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-02-R1,G10G-N-REAL-02,N-10-1,實數與數線,實數,無理數估算,逆向與驗證,以夾擠與計算機估算根號無理數；第二層：由結果反求參數/條件並以代回、圖形、估算驗證,反推、驗證、找錯,只會正向算法，無法檢查必要充分性,3,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-02-A1,G10G-N-REAL-02,N-10-1,實數與數線,實數,無理數估算,情境建模,以夾擠與計算機估算根號無理數；第二層：從科學、工程、數據或生活情境建立模型並解釋,建模應用題,模型選擇、變數設定、單位或答案詮釋錯誤,4,普通高中G10適齡,MathAI原創語義分類
G10G-N-REAL-02-T1,G10G-N-REAL-02,N-10-1,實數與數線,實數,無理數估算,條件變形,以夾擠與計算機估算根號無理數；第二層：加入參數、絕對值、分式根式、多區間或多步驟條件,進階變形題,局部技巧正確但整體條件控制失敗,4,普通高中G10適齡,MathAI原創語義分類
G10G-N-SCI-01-C1,G10G-N-SCI-01,N-10-1,實數與數線,科學記號,科學記號運算,概念與條件辨識,進行乘除與適當加減並保持尺度判斷；第二層：辨認定義、適用條件、符號、函數/幾何角色,概念判斷、條件辨識,忽略定義域、限制條件或符號方向,1,普通高中G10適齡,MathAI原創語義分類
G10G-N-SCI-01-P1,G10G-N-SCI-01,N-10-1,實數與數線,科學記號,科學記號運算,標準程序,進行乘除與適當加減並保持尺度判斷；第二層：依標準算法完成運算、解式、作圖、統計或機率,標準計算/推導,代數程序、變形或公式套用錯誤,2,普通高中G10適齡,MathAI原創語義分類
G10G-N-SCI-01-V1,G10G-N-SCI-01,N-10-1,實數與數線,科學記號,科學記號運算,多表徵轉換,進行乘除與適當加減並保持尺度判斷；第二層：在文字、代數式、數線、函數圖、坐標、統計圖間轉換,式↔圖↔表↔文字,轉換後遺失定義域、方向或幾何意義,3,普通高中G10適齡,MathAI原創語義分類
G10G-N-SCI-01-R1,G10G-N-SCI-01,N-10-1,實數與數線,科學記號,科學記號運算,逆向與驗證,進行乘除與適當加減並保持尺度判斷；第二層：由結果反求參數/條件並以代回、圖形、估算驗證,反推、驗證、找錯,只會正向算法，無法檢查必要充分性,3,普通高中G10適齡,MathAI原創語義分類
