normalized_name,items,decision
算幾不等式,G10_GENERAL:G10G-N-AMGM-01:算幾不等式 | TECH_C_G10:G10TC-AMGM-01:算幾不等式,KEEP_SEPARATE_BY_TRACK
餘式定理,G10_GENERAL:G10G-A-REMAINDER-01:餘式定理 | TECH_A_G10:G10TA-REM-01:餘式定理 | TECH_B_G10:G10TB-REM-01:餘式定理,KEEP_SEPARATE_BY_TRACK
因式定理,G10_GENERAL:G10G-A-FACTOR-THM-01:因式定理 | TECH_A_G10:G10TA-FACTORTHM-01:因式定理,KEEP_SEPARATE_BY_TRACK
圓標準式,G10_GENERAL:G10G-G-CIRCLE-EQ-01:圓標準式 | TECH_A_G10:G10TA-CIRCLE-01:圓標準式 | TECH_B_G10:G10TB-CIRCLE-01:圓標準式,KEEP_SEPARATE_BY_TRACK
正弦定理,G10_GENERAL:G10G-G-SINE-LAW-01:正弦定理 | TECH_B_G10:G10TB-SINE-LAW-01:正弦定理 | TECH_C_G10:G10TC-SINE-LAW-01:正弦定理,KEEP_SEPARATE_BY_TRACK
餘弦定理,G10_GENERAL:G10G-G-COSINE-LAW-01:餘弦定理 | TECH_B_G10:G10TB-COSINE-LAW-01:餘弦定理 | TECH_C_G10:G10TC-COSINE-LAW-01:餘弦定理,KEEP_SEPARATE_BY_TRACK
正射影,G10_GENERAL:G10G-G-PROJECTION-01:正射影 | G11_A:G11A-G-VEC-PROJ-01:正射影 | G11_B:G11B-G-PROJ-01:正射影 | TECH_C_G10:G10TC-PROJ-01:正射影,KEEP_SEPARATE_BY_TRACK
直線排列,G10_GENERAL:G10G-D-PERM-01:直線排列 | TECH_C_G10:G10TC-PERM-01:直線排列,KEEP_SEPARATE_BY_TRACK
期望值,G10_GENERAL:G10G-D-EXPECT-01:期望值 | G12_A:G12A-D-EXPECT-01:期望值 | G12_B:G12B-D-EXPECT-01:期望值,KEEP_SEPARATE_BY_TRACK
弧長與扇形面積,G11_A:G11A-N-ARCLEN-01:弧長與扇形面積 | G11_B:G11B-N-ARCLEN-01:弧長與扇形面積,KEEP_SEPARATE_BY_TRACK
矩陣乘法,G11_A:G11A-A-MATMUL-01:矩陣乘法 | G11_B:G11B-A-MATMUL-01:矩陣乘法,KEEP_SEPARATE_BY_TRACK
二階反方陣,G11_A:G11A-A-INVERSE2-01:二階反方陣 | G11_B:G11B-A-INVERSE2-01:二階反方陣,KEEP_SEPARATE_BY_TRACK
主觀與客觀機率,G11_A:G11A-D-SUBJOBJ-01:主觀與客觀機率 | G11_B:G11B-D-SUBJOBJ-01:主觀與客觀機率,KEEP_SEPARATE_BY_TRACK
條件機率,G11_A:G11A-D-COND-01:條件機率 | G11_B:G11B-D-COND-01:條件機率,KEEP_SEPARATE_BY_TRACK
夾擠定理,G12_A:G12A-N-SQUEEZE-01:夾擠定理 | G12_B:G12B-F-SQUEEZE-01:夾擠定理,KEEP_SEPARATE_BY_TRACK
複數四則與絕對值,G12_A:G12A-N-COMPLEX-OPS-01:複數四則與絕對值 | G12_B:G12B-N-COMPLEX-OPS-01:複數四則與絕對值,KEEP_SEPARATE_BY_TRACK
方程式虛根,G12_A:G12A-A-CROOT-01:方程式虛根 | G12_B:G12B-A-CROOT-01:方程式虛根,KEEP_SEPARATE_BY_TRACK
代數基本定理,G12_A:G12A-A-FTA-01:代數基本定理 | G12_B:G12B-A-FTA-01:代數基本定理,KEEP_SEPARATE_BY_TRACK
共軛根成對,G12_A:G12A-A-CONJROOT-01:共軛根成對 | G12_B:G12B-A-CONJROOT-01:共軛根成對,KEEP_SEPARATE_BY_TRACK
函數運算,G12_A:G12A-F-FUNCOPS-01:函數運算 | G12_B:G12B-F-FUNCOPS-01:函數運算,KEEP_SEPARATE_BY_TRACK
奇偶性,G12_A:G12A-F-ODDEVEN-01:奇偶性 | G12_B:G12B-F-ODDEVEN-01:奇偶性,KEEP_SEPARATE_BY_TRACK
凹凸性概念,G12_A:G12A-F-CONCAVE-01:凹凸性概念 | G12_B:G12B-F-CONCAVE-01:凹凸性概念,KEEP_SEPARATE_BY_TRACK
點極限,G12_A:G12A-F-LIMIT-01:點極限 | G12_B:G12B-F-LIMIT-01:點極限,KEEP_SEPARATE_BY_TRACK
函數連續,G12_A:G12A-F-CONT-01:函數連續 | G12_B:G12B-F-CONT-01:函數連續,KEEP_SEPARATE_BY_TRACK
介值定理,G12_A:G12A-F-IVT-01:介值定理 | G12_B:G12B-F-IVT-01:介值定理,KEEP_SEPARATE_BY_TRACK
切線與導數,G12_A:G12A-F-TANGENT-01:切線與導數 | G12_B:G12B-F-TANGENT-01:切線與導數,KEEP_SEPARATE_BY_TRACK
多項式微分,G12_A:G12A-F-POLYDER-01:多項式微分 | G12_B:G12B-F-POLYDER-01:多項式微分,KEEP_SEPARATE_BY_TRACK
單調性,G12_A:G12A-F-MONOTONE-01:單調性 | G12_B:G12B-F-MONOTONE-01:單調性,KEEP_SEPARATE_BY_TRACK
連續函數平均值,G12_A:G12A-F-AVG-01:連續函數平均值 | G12_B:G12B-F-AVG-01:連續函數平均值,KEEP_SEPARATE_BY_TRACK
變異數與標準差,G12_A:G12A-D-VAR-01:變異數與標準差 | G12_B:G12B-D-VAR-01:變異數與標準差,KEEP_SEPARATE_BY_TRACK
二項分布,G12_A:G12A-D-BINOM-01:二項分布 | G12_B:G12B-D-BINOM-01:二項分布,KEEP_SEPARATE_BY_TRACK
數線與實數位置,TECH_A_G10:G10TA-NUM-01:數線與實數位置 | TECH_B_G10:G10TB-NUM-01:數線與實數位置,KEEP_SEPARATE_BY_TRACK
絕對值幾何意義,TECH_A_G10:G10TA-ABS-01:絕對值幾何意義 | TECH_B_G10:G10TB-ABS-01:絕對值幾何意義,KEEP_SEPARATE_BY_TRACK
基本絕對值不等式,TECH_A_G10:G10TA-ABS-INEQ-01:基本絕對值不等式 | TECH_B_G10:G10TB-ABS-INEQ-01:基本絕對值不等式,KEEP_SEPARATE_BY_TRACK
坐標與兩點距離,TECH_A_G10:G10TA-COORD-01:坐標與兩點距離 | TECH_B_G10:G10TB-COORD-01:坐標與兩點距離,KEEP_SEPARATE_BY_TRACK
函數與y=fx,TECH_A_G10:G10TA-FUNC-01:函數與y=f(x) | TECH_B_G10:G10TB-FUNC-01:函數與y=f(x),KEEP_SEPARATE_BY_TRACK
線型函數圖形,TECH_A_G10:G10TA-LINEAR-01:線型函數圖形 | TECH_B_G10:G10TB-LINEAR-01:線型函數圖形,KEEP_SEPARATE_BY_TRACK
二次函數基本圖形,TECH_A_G10:G10TA-QUAD-01:二次函數基本圖形 | TECH_B_G10:G10TB-QUAD-01:二次函數基本圖形,KEEP_SEPARATE_BY_TRACK
二次式配方,TECH_A_G10:G10TA-COMPLETE-01:二次式配方 | TECH_B_G10:G10TB-COMPLETE-01:二次式配方,KEEP_SEPARATE_BY_TRACK
配方求極值,TECH_A_G10:G10TA-QUAD-EXTREME-01:配方求極值 | TECH_B_G10:G10TB-QUAD-EXTREME-01:配方求極值,KEEP_SEPARATE_BY_TRACK
斜率,TECH_A_G10:G10TA-SLOPE-01:斜率 | TECH_B_G10:G10TB-SLOPE-01:斜率,KEEP_SEPARATE_BY_TRACK
點斜式與一般式,TECH_A_G10:G10TA-LINE-01:點斜式與一般式 | TECH_B_G10:G10TB-LINE-01:點斜式與一般式,KEEP_SEPARATE_BY_TRACK
平行垂直直線,TECH_A_G10:G10TA-PARPERP-01:平行垂直直線 | TECH_B_G10:G10TB-PARPERP-01:平行垂直直線,KEEP_SEPARATE_BY_TRACK
多項式基本概念,TECH_A_G10:G10TA-POLY-01:多項式基本概念 | TECH_B_G10:G10TB-POLY-01:多項式基本概念,KEEP_SEPARATE_BY_TRACK
角度基本性質,TECH_A_G10:G10TA-ANGLE-01:角度基本性質 | TECH_B_G10:G10TB-ANGLE-01:角度基本性質,KEEP_SEPARATE_BY_TRACK
比與連比複習,TECH_A_G10:G10TA-RATIO-01:比與連比複習 | TECH_B_G10:G10TB-RATIO-01:比與連比複習,KEEP_SEPARATE_BY_TRACK
sincostan,TECH_A_G10:G10TA-TRIG-ACUTE-01:sin cos tan | TECH_B_G10:G10TB-TRIG-ACUTE-01:sin cos tan,KEEP_SEPARATE_BY_TRACK
任意角三角函數,TECH_A_G10:G10TA-TRIG-ANY-01:任意角三角函數 | TECH_B_G10:G10TB-TRIG-ANY-01:任意角三角函數,KEEP_SEPARATE_BY_TRACK
計算機三角函數,TECH_A_G10:G10TA-TRIG-CALC-01:計算機三角函數 | TECH_B_G10:G10TB-TRIG-CALC-01:計算機三角函數,KEEP_SEPARATE_BY_TRACK
