micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G03-N-10000-01-C1,G03-N-10000-01,N-3-1,數概念,10000以內的數,萬以內讀寫做,概念辨識,理解萬位與四位數組成；第二層：辨認定義、位值、單位、圖形或數量角色,指認、配對、判斷,混淆核心定義、單位或角色,1,G3適齡,MathAI原創語義分類
G03-N-10000-01-M1,G03-N-10000-01,N-3-1,數概念,10000以內的數,萬以內讀寫做,操作建構,理解萬位與四位數組成；第二層：以積木、分數圖、數線、尺、圓規、容器等操作建立概念,操作、圈選、排列、畫圖,只套算式，未建立量與表徵關係,1,G3適齡,MathAI原創語義分類
G03-N-10000-01-P1,G03-N-10000-01,N-3-1,數概念,10000以內的數,萬以內讀寫做,標準程序,理解萬位與四位數組成；第二層：依標準程序完成直式、換算、測量、讀表,一至兩步標準題,直式位值、換算倍率或操作步驟錯誤,2,G3適齡,MathAI原創語義分類
G03-N-10000-01-V1,G03-N-10000-01,N-3-1,數概念,10000以內的數,萬以內讀寫做,表徵轉換,理解萬位與四位數組成；第二層：在文字、圖像、數線、表格、算式與實物間轉換,看圖列式、補圖、數線定位,只會單一表徵，轉換時失去數量意義,3,G3適齡,MathAI原創語義分類
G03-N-10000-01-A1,G03-N-10000-01,N-3-1,數概念,10000以內的數,萬以內讀寫做,情境應用,理解萬位與四位數組成；第二層：在購物、容量、時間、分組、測量等情境選擇方法,生活文字題,抓錯單位量、總量、份數或時間關係,3,G3適齡,MathAI原創語義分類
G03-N-PLACE-01-C1,G03-N-PLACE-01,N-3-1,數概念,位值,千百十個位值,概念辨識,做位值換算、缺位表示與數字分解；第二層：辨認定義、位值、單位、圖形或數量角色,指認、配對、判斷,混淆核心定義、單位或角色,1,G3適齡,MathAI原創語義分類
G03-N-PLACE-01-M1,G03-N-PLACE-01,N-3-1,數概念,位值,千百十個位值,操作建構,做位值換算、缺位表示與數字分解；第二層：以積木、分數圖、數線、尺、圓規、容器等操作建立概念,操作、圈選、排列、畫圖,只套算式，未建立量與表徵關係,1,G3適齡,MathAI原創語義分類
G03-N-PLACE-01-P1,G03-N-PLACE-01,N-3-1,數概念,位值,千百十個位值,標準程序,做位值換算、缺位表示與數字分解；第二層：依標準程序完成直式、換算、測量、讀表,一至兩步標準題,直式位值、換算倍率或操作步驟錯誤,2,G3適齡,MathAI原創語義分類
G03-N-PLACE-01-V1,G03-N-PLACE-01,N-3-1,數概念,位值,千百十個位值,表徵轉換,做位值換算、缺位表示與數字分解；第二層：在文字、圖像、數線、表格、算式與實物間轉換,看圖列式、補圖、數線定位,只會單一表徵，轉換時失去數量意義,3,G3適齡,MathAI原創語義分類
G03-N-PLACE-01-A1,G03-N-PLACE-01,N-3-1,數概念,位值,千百十個位值,情境應用,做位值換算、缺位表示與數字分解；第二層：在購物、容量、時間、分組、測量等情境選擇方法,生活文字題,抓錯單位量、總量、份數或時間關係,3,G3適齡,MathAI原創語義分類
G03-N-ORDER-01-C1,G03-N-ORDER-01,N-3-1,數概念,數序與比較,萬以內排序比較,概念辨識,利用最高位起逐位比較；第二層：辨認定義、位值、單位、圖形或數量角色,指認、配對、判斷,混淆核心定義、單位或角色,1,G3適齡,MathAI原創語義分類
G03-N-ORDER-01-M1,G03-N-ORDER-01,N-3-1,數概念,數序與比較,萬以內排序比較,操作建構,利用最高位起逐位比較；第二層：以積木、分數圖、數線、尺、圓規、容器等操作建立概念,操作、圈選、排列、畫圖,只套算式，未建立量與表徵關係,1,G3適齡,MathAI原創語義分類
G03-N-ORDER-01-P1,G03-N-ORDER-01,N-3-1,數概念,數序與比較,萬以內排序比較,標準程序,利用最高位起逐位比較；第二層：依標準程序完成直式、換算、測量、讀表,一至兩步標準題,直式位值、換算倍率或操作步驟錯誤,2,G3適齡,MathAI原創語義分類
G03-N-ORDER-01-V1,G03-N-ORDER-01,N-3-1,數概念,數序與比較,萬以內排序比較,表徵轉換,利用最高位起逐位比較；第二層：在文字、圖像、數線、表格、算式與實物間轉換,看圖列式、補圖、數線定位,只會單一表徵，轉換時失去數量意義,3,G3適齡,MathAI原創語義分類
G03-N-ORDER-01-A1,G03-N-ORDER-01,N-3-1,數概念,數序與比較,萬以內排序比較,情境應用,利用最高位起逐位比較；第二層：在購物、容量、時間、分組、測量等情境選擇方法,生活文字題,抓錯單位量、總量、份數或時間關係,3,G3適齡,MathAI原創語義分類
G03-N-MONEY-01-C1,G03-N-MONEY-01,N-3-1,數概念,錢幣表徵,大數與錢幣換算,概念辨識,用1000/100/10/1元表徵數與化聚；第二層：辨認定義、位值、單位、圖形或數量角色,指認、配對、判斷,混淆核心定義、單位或角色,1,G3適齡,MathAI原創語義分類
G03-N-MONEY-01-M1,G03-N-MONEY-01,N-3-1,數概念,錢幣表徵,大數與錢幣換算,操作建構,用1000/100/10/1元表徵數與化聚；第二層：以積木、分數圖、數線、尺、圓規、容器等操作建立概念,操作、圈選、排列、畫圖,只套算式，未建立量與表徵關係,1,G3適齡,MathAI原創語義分類
G03-N-MONEY-01-P1,G03-N-MONEY-01,N-3-1,數概念,錢幣表徵,大數與錢幣換算,標準程序,用1000/100/10/1元表徵數與化聚；第二層：依標準程序完成直式、換算、測量、讀表,一至兩步標準題,直式位值、換算倍率或操作步驟錯誤,2,G3適齡,MathAI原創語義分類
G03-N-MONEY-01-V1,G03-N-MONEY-01,N-3-1,數概念,錢幣表徵,大數與錢幣換算,表徵轉換,用1000/100/10/1元表徵數與化聚；第二層：在文字、圖像、數線、表格、算式與實物間轉換,看圖列式、補圖、數線定位,只會單一表徵，轉換時失去數量意義,3,G3適齡,MathAI原創語義分類
G03-N-MONEY-01-A1,G03-N-MONEY-01,N-3-1,數概念,錢幣表徵,大數與錢幣換算,情境應用,用1000/100/10/1元表徵數與化聚；第二層：在購物、容量、時間、分組、測量等情境選擇方法,生活文字題,抓錯單位量、總量、份數或時間關係,3,G3適齡,MathAI原創語義分類
G03-N-NUMAPP-01-C1,G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,概念辨識,將人口、票價、數量等情境轉為數；第二層：辨認定義、位值、單位、圖形或數量角色,指認、配對、判斷,混淆核心定義、單位或角色,1,G3適齡,MathAI原創語義分類
G03-N-NUMAPP-01-M1,G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,操作建構,將人口、票價、數量等情境轉為數；第二層：以積木、分數圖、數線、尺、圓規、容器等操作建立概念,操作、圈選、排列、畫圖,只套算式，未建立量與表徵關係,1,G3適齡,MathAI原創語義分類
G03-N-NUMAPP-01-P1,G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,標準程序,將人口、票價、數量等情境轉為數；第二層：依標準程序完成直式、換算、測量、讀表,一至兩步標準題,直式位值、換算倍率或操作步驟錯誤,2,G3適齡,MathAI原創語義分類
G03-N-NUMAPP-01-V1,G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,表徵轉換,將人口、票價、數量等情境轉為數；第二層：在文字、圖像、數線、表格、算式與實物間轉換,看圖列式、補圖、數線定位,只會單一表徵，轉換時失去數量意義,3,G3適齡,MathAI原創語義分類
G03-N-NUMAPP-01-A1,G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,情境應用,將人口、票價、數量等情境轉為數；第二層：在購物、容量、時間、分組、測量等情境選擇方法,生活文字題,抓錯單位量、總量、份數或時間關係,3,G3適齡,MathAI原創語義分類
G03-N-NUMAPP-01-R1,G03-N-NUMAPP-01,N-3-1,數概念,大數應用,萬以內生活量,逆向未知,將人口、票價、數量等情境轉為數；第二層：由結果反求缺數、未知邊長、未知份數或未知量,缺項、驗算、反推,只會正向計算，不能用互逆關係,4,G3適齡,MathAI原創語義分類
G03-N-ADD4-01-C1,G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,概念辨識,四位數直式加法並處理跨位進位；第二層：辨認定義、位值、單位、圖形或數量角色,指認、配對、判斷,混淆核心定義、單位或角色,1,G3適齡,MathAI原創語義分類
G03-N-ADD4-01-M1,G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,操作建構,四位數直式加法並處理跨位進位；第二層：以積木、分數圖、數線、尺、圓規、容器等操作建立概念,操作、圈選、排列、畫圖,只套算式，未建立量與表徵關係,1,G3適齡,MathAI原創語義分類
G03-N-ADD4-01-P1,G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,標準程序,四位數直式加法並處理跨位進位；第二層：依標準程序完成直式、換算、測量、讀表,一至兩步標準題,直式位值、換算倍率或操作步驟錯誤,2,G3適齡,MathAI原創語義分類
G03-N-ADD4-01-V1,G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,表徵轉換,四位數直式加法並處理跨位進位；第二層：在文字、圖像、數線、表格、算式與實物間轉換,看圖列式、補圖、數線定位,只會單一表徵，轉換時失去數量意義,3,G3適齡,MathAI原創語義分類
G03-N-ADD4-01-A1,G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,情境應用,四位數直式加法並處理跨位進位；第二層：在購物、容量、時間、分組、測量等情境選擇方法,生活文字題,抓錯單位量、總量、份數或時間關係,3,G3適齡,MathAI原創語義分類
G03-N-ADD4-01-R1,G03-N-ADD4-01,N-3-2,加減運算,四位數加法,直式與進位,逆向未知,四位數直式加法並處理跨位進位；第二層：由結果反求缺數、未知邊長、未知份數或未知量,缺項、驗算、反推,只會正向計算，不能用互逆關係,4,G3適齡,MathAI原創語義分類
G03-N-SUB4-01-C1,G03-N-SUB4-01,N-3-2,加減運算,四位數減法,直式與退位,概念辨識,四位數直式減法並處理跨位退位；第二層：辨認定義、位值、單位、圖形或數量角色,指認、配對、判斷,混淆核心定義、單位或角色,1,G3適齡,MathAI原創語義分類
G03-N-SUB4-01-M1,G03-N-SUB4-01,N-3-2,加減運算,四位數減法,直式與退位,操作建構,四位數直式減法並處理跨位退位；第二層：以積木、分數圖、數線、尺、圓規、容器等操作建立概念,操作、圈選、排列、畫圖,只套算式，未建立量與表徵關係,1,G3適齡,MathAI原創語義分類
G03-N-SUB4-01-P1,G03-N-SUB4-01,N-3-2,加減運算,四位數減法,直式與退位,標準程序,四位數直式減法並處理跨位退位；第二層：依標準程序完成直式、換算、測量、讀表,一至兩步標準題,直式位值、換算倍率或操作步驟錯誤,2,G3適齡,MathAI原創語義分類
