micro_skill_id,parent_skill_id,official_code,main_unit,subunit,skill_name,question_type,focus,item_pattern,common_error,difficulty,age_fit,naming_note
G10TA-NUM-01-C1,G10TA-NUM-01,N-10-1,坐標系與函數圖形,數線,數線與實數位置,概念辨識,複習正負數、分數小數與根號數在數線上的位置；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-NUM-01-P1,G10TA-NUM-01,N-10-1,坐標系與函數圖形,數線,數線與實數位置,標準程序,複習正負數、分數小數與根號數在數線上的位置；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-NUM-01-V1,G10TA-NUM-01,N-10-1,坐標系與函數圖形,數線,數線與實數位置,多表徵轉換,複習正負數、分數小數與根號數在數線上的位置；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-NUM-01-R1,G10TA-NUM-01,N-10-1,坐標系與函數圖形,數線,數線與實數位置,逆向驗證,複習正負數、分數小數與根號數在數線上的位置；第二層：反求條件並以代回、圖形或估算驗證,反推/驗算,只會正向套法,3,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-NUM-01-A1,G10TA-NUM-01,N-10-1,坐標系與函數圖形,數線,數線與實數位置,專業情境應用,複習正負數、分數小數與根號數在數線上的位置；第二層：連結群科專業、生活與測量情境建立模型,應用建模,單位、條件、模型選擇錯誤,4,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-ABS-01-C1,G10TA-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值幾何意義,概念辨識,以距離理解|x-a|；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-ABS-01-P1,G10TA-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值幾何意義,標準程序,以距離理解|x-a|；第二層：依課綱程序完成計算、化簡、作圖或解式,標準程序題,符號、代數程序或公式錯誤,2,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-ABS-01-V1,G10TA-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值幾何意義,多表徵轉換,以距離理解|x-a|；第二層：在文字、式子、坐標、函數圖、向量圖間轉換,圖↔式↔文字,表徵轉換失真,3,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-ABS-01-R1,G10TA-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值幾何意義,逆向驗證,以距離理解|x-a|；第二層：反求條件並以代回、圖形或估算驗證,反推/驗算,只會正向套法,3,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-ABS-01-A1,G10TA-ABS-01,N-10-2,坐標系與函數圖形,絕對值,絕對值幾何意義,專業情境應用,以距離理解|x-a|；第二層：連結群科專業、生活與測量情境建立模型,應用建模,單位、條件、模型選擇錯誤,4,技高數學A G10適齡,MathAI技高Track語義分類
G10TA-ABS-INEQ-01-C1,G10TA-ABS-INEQ-01,N-10-2,坐標系與函數圖形,絕對值,基本絕對值不等式,概念辨識,處理|x-a|<b與|x-a|>b基本型；第二層：辨認定義、條件、符號與專業情境角色,概念/條件判斷,概念邊界或限制條件混淆,1,技高數學A G10適齡,MathAI技高Track語義分類
